,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,ticker
wright_flyer,0.014611721151601031,0.07227144245573341,0.23690144396727622,0.2617139735138353,-0.15486950872309846,0.09434859884347088,7167.0,SPY
glider_1901,0.014296219005417665,0.10199216113990439,0.19032191868746354,0.23763658246111735,-0.2819307113174988,0.05070827132882962,7167.0,SPY
buy_and_hold,0.09283956744727595,0.19375814287103468,0.5551846406515536,0.7127127481882755,-0.5518945276587122,0.1682197644559493,7167.0,SPY
wright_flyer,0.029476880016091833,0.07739720725528242,0.41408109548883787,0.49117069048276696,-0.22628981041004403,0.13026163203141505,6870.0,QQQ
glider_1901,0.02400709067930973,0.10204916351310453,0.2836158565562966,0.35861377659373966,-0.27463514722274784,0.08741448762870231,6870.0,QQQ
buy_and_hold,0.10916662117273912,0.26948064967858915,0.5190394013269138,0.6863192682769349,-0.8296391073219369,0.13158326338439782,6870.0,QQQ
wright_flyer,0.01248473460645294,0.08001584106102,0.19504824674897742,0.2443396526685005,-0.305318895952605,0.04089080227904061,5437.0,GLD
glider_1901,0.02679464533892917,0.10261759656488798,0.30902621659546087,0.4099821928257536,-0.31984858194019194,0.08377290646840968,5437.0,GLD
buy_and_hold,0.10336904435799577,0.18181497946195452,0.6322611945644193,0.8397991373498457,-0.4555501273425696,0.22691036211754403,5437.0,GLD
wright_flyer,0.02534132253505783,0.07018323249698563,0.39170651844929555,0.4598162807467045,-0.1923467117398796,0.13174814534562052,6247.0,EFA
glider_1901,0.00804444302113283,0.10034583253931804,0.1300622744332284,0.17589294952143938,-0.45568989093287826,0.01765332780295921,6247.0,EFA
buy_and_hold,0.06454104015778905,0.20799561608734513,0.40484209695137524,0.5190532512307141,-0.6103728697803807,0.1057403488149984,6247.0,EFA
