,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days
"squadron (4 flyers, equal weight)",0.02141786166389048,0.04864657196706729,0.45997834691467365,0.6018607982468951,-0.09221223793495703,0.23226701947086262,5437.0
"hold basket (4 assets, equal weight)",0.11542902081211359,0.1576526061334582,0.771893970136151,0.9904211877189596,-0.42972918532330284,0.26860875349965263,5437.0
